InFreq=1000
Nw in RingBuffer　　　　　　Nr in RingBuffer
count   RB00      RB01      RB02      RB03      RB04      RB05      RB06      RB07      RB08      RB09      RB10      RB11      RB12      RB13      RB00      RB01      RB02      RB03      RB04      RB05      RB06      RB07      RB08      RB09      RB10      RB11      RB12      RB13   
   15         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   16         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   17         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   18         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   19         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   20         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   21         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   22         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   23         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   24         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   25         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   26         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   27         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   28         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   29         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   30         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   31         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   32         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   33         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   34         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   35         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   36         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   37         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   38         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   39         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   40         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   41         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   42         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   43         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   44         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   45         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   46         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   47         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   48         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   49         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   50         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   51         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   52         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   53         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   54         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   55         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   56         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   57         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   58         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   59         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   60         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   61         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   62         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   63         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   64         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   65         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   66         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   67         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   68         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   69         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   70         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   71         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   72         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   73         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   74         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   75         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   76         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   77         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   78         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   79         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   80         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   81         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   82         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   83         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   84         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   85         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   86         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   87         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   88         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   89         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   90         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   91         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   92         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   93         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   94         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   95         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   96         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0 
   97        14         0         0        91         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0         0         0 
   98       104        96        22       189        33        88        44        24        95        32        24         0        21        58         1         1         1         1         1         1         1         1         1         1         1         0         0         0 
   99       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  100       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  101       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  102       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  103       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  104       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  105       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  106       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  107       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  108       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  109       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  110       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  111       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  112       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  113       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  114       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  115       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  116       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  117       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  118       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  119       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  120       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  121       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  122       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  123       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  124       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  125       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  126       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  127       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  128       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  129       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  130       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  131       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  132       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  133       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  134       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  135       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  136       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  137       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  138       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  139       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  140       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  141       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  142       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  143       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  144       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  145       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  146       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  147       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  148       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  149       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  150       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  151       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  152       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  153       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  154       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
  155       123       101        40       194        51        94        50        42       101        51        30        18        26        77       123       101        40       194        51        94        50        42       101        51        30        18        26        77 
